Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
A:US,AGILENT TECHNOLOGIES INC,US,BBB+,Health Care,115.48,5.09%,5.71%,6.63%,0.88%,9.85%,33.91%,20.09x,20.68x,28.70x
AAL:US,AMERICAN AIRLINES GROUP INC,US,B+,Industrials,10.84,,,-100.00%,,129.71%,-65.75%,33.91x,2.00x,
AAP:US,ADVANCE AUTO PARTS INC,US,BB,Consumer Discretionary,51.83,,-38.89%,38.59%,1.93%,30.09%,-27.77%,21.73x,45.21x,
AAPL:US,APPLE INC,US,AA+,Information Technology,255.92,4.08%,4.26%,5.12%,0.41%,10.37%,113.99%,32.10x,29.42x,31.96x
ABBV:US,ABBVIE INC,US,A-,Health Care,208.84,5.81%,5.17%,6.83%,3.31%,18.93%,-1.00%,18.74x,17.33x,18.51x
ABT:US,ABBOTT LABORATORIES,US,A+,Health Care,102.87,7.27%,7.88%,10.61%,2.45%,10.08%,29.80%,19.47x,18.33x,23.11x
ACN:US,ACCENTURE PLC,US,AA-,Information Technology,201.33,14.73%,15.12%,13.12%,3.24%,8.62%,-0.44%,14.93x,10.64x,11.38x
ADBE:US,ADOBE INC,US,A+,Information Technology,242.92,,,,,11.72%,-25.70%,11.15x,10.00x,10.17x
ADI:US,ANALOG DEVICES INC,US,A-,Information Technology,318.34,7.46%,9.43%,10.16%,1.38%,20.30%,68.53%,34.20x,29.88x,32.82x
ADM:US,ARCHER DANIELS MIDLAND CO,US,A,Consumer Staples,73.83,2.00%,8.54%,7.30%,2.82%,14.77%,36.76%,20.51x,7.59x,10.81x
ADP:US,AUTOMATIC DATA PROCESSING INC,US,AA-,Industrials,204.01,10.46%,14.17%,11.42%,3.33%,9.01%,26.77%,19.02x,16.07x,16.58x
ADSK:US,AUTODESK INC,US,BBB+,Information Technology,238.08,,,,,15.30%,44.57%,22.12x,20.37x,20.73x
AEE:US,AMEREN CORP,US,BBB+,Utilities,111.68,5.97%,6.37%,7.27%,2.69%,7.70%,45.59%,21.84x,8.95x,
AEP:US,AMERICAN ELECTRIC POWER CO INC,US,BBB+,Utilities,132.68,4.76%,5.67%,5.66%,2.86%,8.03%,45.94%,21.89x,10.13x,
AES:US,AES CORP,US,BBB-,Utilities,14.30,2.00%,3.66%,4.20%,4.92%,2.52%,-54.74%,6.12x,2.52x,
AIG:US,AMERICAN INTERNATIONAL GROUP INC,US,A-,Financials,75.42,12.18%,10.99%,6.60%,2.39%,10.31%,-31.04%,10.34x,7.21x,9.85x
AIZ:US,ASSURANT INC,US,BBB,Financials,218.26,10.81%,6.23%,5.20%,1.61%,5.65%,-27.12%,10.93x,6.37x,7.29x
AJG:US,GALLAGHER ARTHUR J & CO,US,BBB+,Financials,217.61,8.33%,8.42%,7.64%,1.29%,15.15%,26.74%,19.21x,24.18x,25.56x
AKAM:US,AKAMAI TECHNOLOGIES INC,US,BBB,Information Technology,118.00,,,,,7.45%,11.51%,16.73x,11.16x,25.39x
ALB:US,ALBEMARLE CORP,US,BBB-,Materials,178.09,0.62%,0.84%,1.02%,0.91%,98.95%,19.09%,117.84x,15.75x,28.13x
ALGN:US,ALIGN TECHNOLOGY INC,US,,Health Care,170.60,,,,,8.94%,6.30%,15.95x,18.22x,21.01x
ALK:US,ALASKA AIR GROUP INC,US,BB,Industrials,37.33,,,-100.00%,,66.50%,-76.78%,15.44x,3.60x,
ALL:US,ALLSTATE CORP,US,BBB+,Financials,207.03,8.70%,5.59%,14.34%,2.09%,-8.83%,-57.60%,6.36x,6.15x,6.39x
ALLE:US,ALLEGION PLC,US,BBB,Industrials,141.06,6.25%,7.56%,9.81%,1.56%,7.58%,13.25%,16.99x,15.51x,17.64x
AMAT:US,APPLIED MATERIALS INC,US,A,Information Technology,348.47,19.44%,19.86%,15.05%,0.61%,18.56%,86.02%,34.52x,34.39x,48.64x
AMCR:US,AMCOR PLC,US,BBB,Materials,39.93,2.01%,2.05%,1.77%,6.51%,9.46%,-31.62%,10.26x,7.31x,11.02x
AMD:US,ADVANCED MICRO DEVICES INC,US,A,Information Technology,217.50,,,,,49.48%,-8.57%,45.24x,46.17x,52.60x
AME:US,AMETEK INC,US,BBB+,Industrials,218.29,10.71%,12.12%,11.49%,0.62%,7.96%,91.83%,28.77x,27.12x,29.30x
AMGN:US,AMGEN INC,US,BBB+,Health Care,347.94,5.78%,7.07%,8.29%,2.90%,3.64%,5.58%,15.84x,17.41x,22.33x
AMP:US,AMERIPRISE FINANCIAL INC,US,A-,Financials,433.94,8.46%,8.77%,8.96%,1.47%,10.10%,-28.06%,10.79x,,5.94x
AMT:US,AMERICAN TOWER CORP,US,BBB+,Real Estate,173.73,4.94%,5.16%,8.59%,3.97%,11.95%,103.83%,30.57x,16.09x,16.09x
AMZN:US,AMAZON COM INC,US,AA,Consumer Discretionary,209.77,,,,,18.26%,56.98%,28.66x,15.13x,970.80x
ANET:US,ARISTA NETWORKS INC,US,,Information Technology,126.68,,,,,19.65%,107.19%,40.71x,35.93x,36.88x
AON:US,AON PLC,US,A-,Financials,323.14,10.23%,9.94%,10.33%,0.92%,11.44%,22.55%,18.38x,19.08x,20.61x
